UrugalYigoskaravA Uru(N8)+galYu_#_BEN+lYigoskaravA_lYu_INTR
UrugalYigoskaravU Uru(N8)+galYu_#_BEN+lYigoskaravU_lYu_INCL
UrugalYigoskaravo Uru(N8)+galYu_#_BEN+lYigoskaravo_lYu_DUB
UrugalYigoskaravo Uru(N8)+galYu_#_BEN+lYigoskaravo_lYu_INDF
UrugalYigoskaravo Uru(N8)+galYu_#_BEN+lYigoskaravo_lYu_PRES
UrugalYigoskarave Uru(N8)+galYu_#_BEN+lYigoskarave_lYu_IMPH
UrugalYigoskarave Uru(N8)+galYu_#_BEN+lYigoskarave_lYu_DECL
UrugalYigoskarave Uru(N8)+galYu_#_BEN+lYigoskarave_lYu_RIS
UrugalYigoskaravA Uru(N8)+galYu_#_PUR+lYigoskaravA_lYu_INTR
UrugalYigoskaravU Uru(N8)+galYu_#_PUR+lYigoskaravU_lYu_INCL
UrugalYigoskaravo Uru(N8)+galYu_#_PUR+lYigoskaravo_lYu_DUB
UrugalYigoskaravo Uru(N8)+galYu_#_PUR+lYigoskaravo_lYu_INDF
UrugalYigoskaravo Uru(N8)+galYu_#_PUR+lYigoskaravo_lYu_PRES
UrugalYigoskarave Uru(N8)+galYu_#_PUR+lYigoskarave_lYu_IMPH
UrugalYigoskarave Uru(N8)+galYu_#_PUR+lYigoskarave_lYu_DECL
UrugalYigoskarave Uru(N8)+galYu_#_PUR+lYigoskarave_lYu_RIS
UrugalYigAgiyA Uru(N8)+galYu_#_BEN+lYigAgiyA_lYu_INTR
UrugalYigAgiyU Uru(N8)+galYu_#_BEN+lYigAgiyU_lYu_INCL
UrugalYigAgiyo Uru(N8)+galYu_#_BEN+lYigAgiyo_lYu_DUB
UrugalYigAgiyo Uru(N8)+galYu_#_BEN+lYigAgiyo_lYu_INDF
UrugalYigAgiyo Uru(N8)+galYu_#_BEN+lYigAgiyo_lYu_PRES
UrugalYigAgiye Uru(N8)+galYu_#_BEN+lYigAgiye_lYu_IMPH
UrugalYigAgiye Uru(N8)+galYu_#_BEN+lYigAgiye_lYu_DECL
UrugalYigAgiye Uru(N8)+galYu_#_BEN+lYigAgiye_lYu_RIS
UrugalYigAgiyA Uru(N8)+galYu_#_PUR+lYigAgiyA_lYu_INTR
UrugalYigAgiyU Uru(N8)+galYu_#_PUR+lYigAgiyU_lYu_INCL
UrugalYigAgiyo Uru(N8)+galYu_#_PUR+lYigAgiyo_lYu_DUB
UrugalYigAgiyo Uru(N8)+galYu_#_PUR+lYigAgiyo_lYu_INDF
