nillalpadabahuxu nillu(V4)+alpada_u_#_AVY+bahuxu_#_FUTPOTEN_#_3SN
nillalpadabahuxu nillu(V4)+alpada_u_#_AVY+bahuxu_#_FUTPOTEN_#_3PN
nillalpadabeku nillu(V4)+alpada_u_#_AVY+beku_#_FUTCOMP
nillalpadalebeku nillu(V4)+alpada_u_#_AVY+lebeku_#_FUTCOMP
nillalpadalAraxu nillu(V4)+alpadu_u_FUTNEG+alAraxu_u_3SN
nillalpadalAravu nillu(V4)+alpadu_u_FUTNEG+alAravu_u_3PN
nillalpadalAraxa nillu(V4)+alpadu_u_NEG+alAraxa_u_3SN
nillalpattarU nillu(V4)+alpadu_u_FUTCOND+ttarU_du_NFV
nillalpaduwwa nillu(V4)+alpadu_u_PRESCONT+uwwa_u_NFV
nillalpatta nillu(V4)+alpadu_u_RP+tta_du_PAST
nillalpadaxeV nillu(V4)+alpadu_u_NEG+axeV_u_NFV	

nillalpadaxa nillu(V4)+alpadu_u_NEG+axa_u_NFV
nillalpattu nillu(V4)+alpadu_u_PAST+pattu_padu_NFV
nillalpaduva nillu(V4)+alpadu_u_FUT+va_#_RP
nillalpadalu nillu(V4)+alpadu_u_INFN+alu_u_FUTINCH
nillalpadalikkeV nillu(V4)+alpadu_u_INFN+alikkeV_u_FUTINCH
nillalpattareV nillu(V4)+alpadu_u_FUTCOND+pattareV_padu_NFV
nillalpattalli nillu(V4)+alpadu_u_FUTCOND+pattalli_padu_NFV
nillalpaduwwiva nillu(V4)+alpadu_u_AUX+uwwiva_u_RP
nillalpaduwwixxa nillu(V4)+alpadu_u_AUX+uwwixxa_u_RP
nillalpaduwwaliva nillu(V4)+alpadu_u_AUX+uwwaliva_u_RP
nillalpaduwwirabekAxa nillu(V4)+alpadu_u_AUX+uwwiru_u_AVY+abekAxa_u_3SN
niMwanA nillu(V4)+MwanA_llu_INTR
niMwalYA nillu(V4)+MwalYA_llu_INTR
niMwiwA nillu(V4)+MwiwA_llu_INTR
niMwarA nillu(V4)+MwarA_llu_INTRs
niMwavA nillu(V4)+MwavA_llu_INTR
nilluwwAnA nillu(V4)+uwwAnA_u_INTR
nilluwwAlYA nillu(V4)+uwwAlYA_u_INTR
nilluwwaxA nillu(V4)+uwwaxA_u_INTR
nilluvanA nillu(V4)+vanA_#_INTR
nilluvalYA nillu(V4)+valYA_#_INTR
nilluvuxA nillu(V4)+vuxA_#_INTR
nilluvarA nillu(V4)+varA_#_INTR
nilluvuvA nillu(V4)+vuvA_#_INTR
nilluwwiyA nillu(V4)+uwwiyA_u_INTR
nilluwwiriyA nillu(V4)+uwwiriyA_u_INTR
